epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.8477,1.58055,3.78588,1.28024,0.00672,0.39815,0.02609,0.01798,0.97271,3.69481,1.19395,3.334e-05,3.334e-05,3.334e-05
2,125.796,1.18527,3.61034,1.1348,0.01508,0.5,0.09243,0.06167,1.03299,3.65771,1.15245,8.16997e-05,8.16997e-05,8.16997e-05
3,153.89,1.17715,3.19095,1.11588,0.01348,0.5,0.18826,0.1301,1.18358,3.5673,1.15638,0.000128079,0.000128079,0.000128079
4,182.846,1.05041,2.49006,1.04161,0.02131,0.62963,0.24643,0.18377,1.02394,3.39109,1.12887,0.000172478,0.000172478,0.000172478
5,221.348,1.00156,1.77348,1.01096,0.02024,0.61111,0.2793,0.19849,0.97686,3.17252,1.10514,0.000214896,0.000214896,0.000214896
6,258.034,0.99958,1.38898,1.02993,0.02526,0.68519,0.37421,0.26271,0.96435,2.91308,1.13849,0.000255334,0.000255334,0.000255334
7,307.08,0.82447,1.17321,0.94483,0.5373,0.50593,0.47163,0.27087,1.09125,2.73931,1.11655,0.000293792,0.000293792,0.000293792
8,397.152,0.97157,1.35897,1.01142,0.55862,0.31921,0.5034,0.31297,1.12298,2.72347,1.13175,0.000330269,0.000330269,0.000330269
9,449.396,0.92078,1.14549,0.96571,0.84858,0.14925,0.42242,0.2593,1.04186,2.83106,1.18709,0.000364766,0.000364766,0.000364766
10,495.943,0.90067,1.18408,0.99735,0.51079,0.32019,0.37889,0.25029,0.94964,2.92205,1.10608,0.000397283,0.000397283,0.000397283
11,545.894,0.82974,1.035,0.96319,0.01804,0.56481,0.4581,0.19774,0.93801,3.06885,1.10606,0.000427819,0.000427819,0.000427819
12,582.976,0.86049,1.09457,0.97159,0.01762,0.56481,0.15535,0.12081,1.02575,3.02503,1.16263,0.000456375,0.000456375,0.000456375
13,615.389,0.78967,1.00074,0.96134,0.68042,0.46296,0.51515,0.22173,1.03643,2.74227,1.18159,0.00048295,0.00048295,0.00048295
14,649.061,0.82792,0.98166,0.94587,0.87107,0.13336,0.48817,0.25915,1.12426,2.61439,1.21537,0.000507545,0.000507545,0.000507545
15,698.559,0.71662,0.8838,0.93468,0.85054,0.15212,0.61408,0.36936,0.99088,2.35204,1.13429,0.000530159,0.000530159,0.000530159
16,750.896,0.78011,0.9001,0.93727,0.86972,0.18397,0.65173,0.38804,0.98859,2.25072,1.12473,0.000550793,0.000550793,0.000550793
17,784.224,0.75296,0.87837,0.93717,0.88358,0.21357,0.55392,0.4034,1.05463,2.37931,1.21801,0.000569447,0.000569447,0.000569447
18,813.333,0.70957,0.85975,0.92081,0.87999,0.20526,0.60742,0.40068,1.08475,2.43007,1.24909,0.000586121,0.000586121,0.000586121
19,843.248,0.81821,0.94372,0.95528,0.8802,0.20576,0.49202,0.32162,1.1491,2.40278,1.28496,0.000600813,0.000600813,0.000600813
20,892.935,0.644,0.78207,0.90904,0.87959,0.20435,0.54293,0.31948,1.14438,2.29806,1.25296,0.000613526,0.000613526,0.000613526
21,926.687,0.69787,0.79334,0.91159,0.75364,0.37715,0.57108,0.33774,1.11236,2.1742,1.23226,0.000624258,0.000624258,0.000624258
22,953.345,0.69519,0.81654,0.92136,0.9039,0.50549,0.69266,0.41021,1.01973,1.91942,1.21391,0.00063301,0.00063301,0.00063301
23,984.26,0.64517,0.73641,0.89746,0.73602,0.46276,0.60291,0.36953,1.00456,1.77298,1.17929,0.000639781,0.000639781,0.000639781
24,1014.43,0.69234,0.74705,0.90549,0.70193,0.43149,0.54249,0.35156,0.94548,1.67374,1.14874,0.000644572,0.000644572,0.000644572
